video_file,gt_serve,infer_serve,serve_diff,serve_within_90,gt_score,infer_score,score_diff,score_within_90
Volley_20250410_124857_serve5569_score5957.mp4,5485,5569,84,True,5929,5957,28,True
Volley_20250410_125101_serve8800_score9471.mp4,8736,8800,64,True,9520,9471,49,True
Volley_20250410_125155_serve10501_score10891.mp4,10519,10501,18,True,10824,10891,67,True
Volley_20250410_125558_serve17480_score17884.mp4,17519,17480,39,True,17937,17884,53,True
Volley_20250410_125634_serve18412_score18811.mp4,18488,18412,76,True,18828,18811,17,True
Volley_20250410_125700_serve19160_score19441.mp4,19220,19160,60,True,19352,19441,89,True
Volley_20250410_125736_serve20216_score20413.mp4,20166,20216,50,True,20410,20413,3,True
Volley_20250410_125805_serve20892_score21186.mp4,20857,20892,35,True,20972,21186,214,False
Volley_20250410_125845_serve21491_score22228.mp4,21492,21491,1,True,22082,22228,146,False
Volley_20250410_125927_serve22490_score23217.mp4,22537,22490,47,True,23223,23217,6,True
Volley_20250410_130003_serve23742_score24082.mp4,23727,23742,15,True,23940,24082,142,False
Volley_20250410_130126_serve26165_score26430.mp4,26086,26165,79,True,26414,26430,16,True
Volley_20250410_130158_serve26909_score27271.mp4,27025,26909,116,False,27343,27271,72,True
Volley_20250410_130222_serve27745_score27883.mp4,27930,27745,185,False,27861,27883,22,True
Volley_20250410_130323_serve29447_score29591.mp4,29531,29447,84,True,29656,29591,65,True
Volley_20250410_130426_serve30169_score31322.mp4,30215,30169,46,True,31273,31322,49,True
Volley_20250410_130500_serve31777_score32052.mp4,31756,31777,21,True,31915,32052,137,False
Volley_20250410_130529_serve32537_score32810.mp4,32461,32537,76,True,32728,32810,82,True
Volley_20250410_130609_serve33286_score33877.mp4,33088,33286,198,False,33932,33877,55,True
Volley_20250410_130646_serve34325_score34804.mp4,34470,34325,145,False,34878,34804,74,True
Volley_20250410_130722_serve35303_score35721.mp4,35280,35303,23,True,35774,35721,53,True
Volley_20250410_130808_serve36631_score36916.mp4,36690,36631,59,True,36975,36916,59,True
Volley_20250410_130833_serve37417_score37581.mp4,37383,37417,34,True,37802,37581,221,False
Volley_20250410_130846_serve37589_score37880.mp4,37511,37589,78,True,37619,37880,261,False
Volley_20250410_130921_serve38375_score38813.mp4,38393,38375,18,True,38821,38813,8,True
Volley_20250410_130954_serve39345_score39637.mp4,39374,39345,29,True,39688,39637,51,True
Volley_20250410_131036_serve40196_score40745.mp4,39898,40196,298,False,40792,40745,47,True
Volley_20250410_131106_serve41289_score41474.mp4,41363,41289,74,True,41459,41474,15,True
Volley_20250410_131132_serve41496_score41848.mp4,41522,41496,26,True,41825,41848,23,True
Volley_20250410_131242_serve43961_score44115.mp4,43856,43961,105,False,43891,44115,224,False
Volley_20250410_131309_serve44589_score44852.mp4,44540,44589,49,True,44897,44852,45,True
Volley_20250410_131343_serve45350_score45736.mp4,45523,45350,173,False,45738,45736,2,True
Volley_20250410_131408_serve46228_score46361.mp4,46134,46228,94,False,46416,46361,55,True
Volley_20250410_131447_serve47157_score47421.mp4,47435,47157,278,False,47315,47421,106,False
Volley_20250410_131556_serve48600_score49305.mp4,48631,48600,31,True,49463,49305,158,False
Volley_20250410_131625_serve49798_score49992.mp4,49636,49798,162,False,50004,49992,12,True
Volley_20250410_131700_serve50713_score50931.mp4,50899,50713,186,False,50746,50931,185,False
Volley_20250410_131729_serve51336_score51686.mp4,51332,51336,4,True,51737,51686,51,True
Volley_20250410_131805_serve52412_score52636.mp4,52378,52412,34,True,52707,52636,71,True
Volley_20250410_131842_serve53082_score53599.mp4,53009,53082,73,True,53383,53599,216,False
Volley_20250410_131902_serve53701_score54060.mp4,53735,53701,34,True,54003,54060,57,True
Volley_20250410_131917_serve54161_score54397.mp4,54217,54161,56,True,54369,54397,28,True
Volley_20250415_193325_serve61542_score61735.mp4,61556,61542,14,True,61669,61735,66,True
Volley_20250415_193426_serve62495_score63516.mp4,62495,62495,0,True,63545,63516,29,True
Volley_20250415_193453_serve63998_score64174.mp4,63711,63998,287,False,64170,64174,4,True
Volley_20250415_193556_serve65813_score66052.mp4,65540,65813,273,False,66076,66052,24,True
Volley_20250415_193627_serve66571_score66958.mp4,66527,66571,44,True,66931,66958,27,True
Volley_20250415_193659_serve67491_score67870.mp4,67210,67491,281,False,67918,67870,48,True
Volley_20250415_193738_serve68942_score69088.mp4,68665,68942,277,False,69122,69088,34,True
Volley_20250415_193812_serve69431_score69912.mp4,69443,69431,12,True,69654,69912,258,False
Volley_20250415_193847_serve70389_score70895.mp4,70680,70389,291,False,70983,70895,88,True
Volley_20250415_193909_serve71331_score71870.mp4,71564,71331,233,False,71855,71870,15,True
Volley_20250415_193946_serve72329_score72519.mp4,72253,72329,76,True,72567,72519,48,True
Volley_20250415_194012_serve72963_score73251.mp4,72953,72963,10,True,73310,73251,59,True
Volley_20250415_194050_serve73715_score74343.mp4,73760,73715,45,True,74383,74343,40,True
Volley_20250415_194118_serve74852_score75096.mp4,74809,74852,43,True,75023,75096,73,True
Volley_20250415_194136_serve75433_score75598.mp4,75403,75433,30,True,75653,75598,55,True
Volley_20250415_194201_serve76057_score76307.mp4,76119,76057,62,True,76237,76307,70,True
Volley_20250415_194224_serve76784_score76954.mp4,76843,76784,59,True,76944,76954,10,True
Volley_20250415_194332_serve78841_score78991.mp4,79103,78841,262,False,79002,78991,11,True
Volley_20250415_194356_serve80028_score80549.mp4,80103,80028,75,True,80539,80549,10,True
Volley_20250415_194448_serve81008_score81564.mp4,81101,81008,93,False,81618,81564,54,True
Volley_20250415_194511_serve81677_score81856.mp4,81395,81677,282,False,81799,81856,57,True
Volley_20250415_194552_serve82360_score83028.mp4,82513,82360,153,False,83050,83028,22,True
Volley_20250415_194616_serve83784_score83878.mp4,83664,83784,120,False,83929,83878,51,True
Volley_20250415_194700_serve84318_score84942.mp4,84397,84318,79,True,84886,84942,56,True
Volley_20250415_194738_serve85713_score85980.mp4,85650,85713,63,True,85929,85980,51,True
Volley_20250415_194804_serve86832_score86725.mp4,86896,86832,64,True,86722,86725,3,True
Volley_20250415_194840_serve87855_score87867.mp4,87927,87855,72,True,88083,87867,216,False
Volley_20250415_194902_serve88276_score88428.mp4,88390,88276,114,False,88519,88428,91,False
Volley_20250415_195009_serve90122_score90309.mp4,90195,90122,73,True,90589,90309,280,False
Volley_20250415_195039_serve90837_score91127.mp4,90856,90837,19,True,91065,91127,62,True
Volley_20250415_195109_serve91667_score91777.mp4,91753,91667,86,True,91877,91777,100,False
Volley_20250415_195138_serve92724_score92942.mp4,92671,92724,53,True,92862,92942,80,True
Volley_20250415_195204_serve93390_score93686.mp4,93310,93390,80,True,93439,93686,247,False
Volley_20250415_195229_serve94183_score94409.mp4,94183,94183,0,True,94213,94409,196,False
Volley_20250415_195252_serve94875_score95110.mp4,94635,94875,240,False,95246,95110,136,False
Volley_20250415_195319_serve95606_score95845.mp4,95621,95606,15,True,95733,95845,112,False
Volley_20250415_195358_serve96708_score96822.mp4,96797,96708,89,True,96741,96822,81,True
Volley_20250415_195433_serve97804_score97987.mp4,97946,97804,142,False,97955,97987,32,True
Volley_20250415_195458_serve98455_score98702.mp4,98533,98455,78,True,98696,98702,6,True
Volley_20250415_195527_serve99214_score99750.mp4,99141,99214,73,True,99930,99750,180,False
Volley_20250415_195602_serve100091_score100562.mp4,100138,100091,47,True,100479,100562,83,True
Volley_20250415_195640_serve107064_score107187.mp4,107040,107064,24,True,107164,107187,23,True
Volley_20250415_195959_serve107634_score107743.mp4,107696,107634,62,True,107733,107743,10,True
Volley_20250415_200028_serve107872_score108271.mp4,107912,107872,40,True,108328,108271,57,True
Volley_20250415_200050_serve108791_score109203.mp4,108712,108791,79,True,109113,109203,90,True
Volley_20250415_200116_serve109692_score109915.mp4,109739,109692,47,True,109996,109915,81,True
Volley_20250415_200140_serve110361_score110608.mp4,110381,110361,20,True,110688,110608,80,True
Volley_20250415_200205_serve111084_score111322.mp4,110943,111084,141,False,111308,111322,14,True
Volley_20250415_200317_serve112931_score113441.mp4,113011,112931,80,True,113454,113441,13,True
Volley_20250415_200353_serve114008_score114455.mp4,114059,114008,51,True,114472,114455,17,True
Volley_20250415_200454_serve115885_score116436.mp4,115892,115885,7,True,116390,116436,46,True
Volley_20250415_200520_serve117010_score117229.mp4,116997,117010,13,True,117139,117229,90,True
Volley_20250415_200534_serve117689_score117937.mp4,117652,117689,37,True,117995,117937,58,True
Volley_20250415_200626_serve118387_score118634.mp4,118379,118387,8,True,118657,118634,23,True
Volley_20250415_200649_serve119296_score119499.mp4,119336,119296,40,True,119452,119499,47,True
Volley_20250415_200718_serve119986_score120399.mp4,119968,119986,18,True,120471,120399,72,True
Volley_20250415_200751_serve120815_score121064.mp4,120748,120815,67,True,121215,121064,151,False
Volley_20250415_200806_serve121429_score121685.mp4,121389,121429,40,True,121606,121685,79,True
Volley_20250415_200835_serve122203_score122527.mp4,122234,122203,31,True,122455,122527,72,True
Volley_20250415_200946_serve123783_score124559.mp4,123854,123783,71,True,124647,124559,88,True
Volley_20250415_201032_serve124657_score124957.mp4,124669,124657,12,True,125034,124957,77,True
Volley_20250415_201203_serve125630_score125860.mp4,125567,125630,63,True,125826,125860,34,True
Volley_20250415_201246_serve126399_score126581.mp4,126487,126399,88,True,126503,126581,78,True
Volley_20250415_201324_serve128627_score128797.mp4,128568,128627,59,True,128825,128797,28,True
Volley_20250415_201328_serve129350_score129465.mp4,129403,129350,53,True,129488,129465,23,True
Volley_20250415_201344_serve129944_score130488.mp4,129983,129944,39,True,130538,130488,50,True
Volley_20250415_201344_serve130968_score131376.mp4,130918,130968,50,True,131407,131376,31,True
Volley_20250415_201423_serve131838_score132471.mp4,131811,131838,27,True,132758,132471,287,False
Volley_20250415_201450_serve132931_score133176.mp4,132911,132931,20,True,133159,133176,17,True
Volley_20250415_201515_serve133653_score134460.mp4,133648,133653,5,True,134508,134460,48,True
Volley_20250415_201608_serve135108_score135429.mp4,135056,135108,52,True,135516,135429,87,True
Volley_20250415_201635_serve135875_score136187.mp4,135839,135875,36,True,136201,136187,14,True
Volley_20250415_201702_serve136640_score136950.mp4,136669,136640,29,True,136912,136950,38,True
Volley_20250415_201731_serve137493_score137784.mp4,137292,137493,201,False,138022,137784,238,False
Volley_20250415_201845_serve139737_score139981.mp4,139737,139737,0,True,139990,139981,9,True
Volley_20250415_201913_serve140521_score140768.mp4,140328,140521,193,False,140747,140768,21,True
Volley_20250415_201938_serve141598_score141747.mp4,141515,141598,83,True,141828,141747,81,True
Volley_20250415_202014_serve141952_score142547.mp4,141965,141952,13,True,142576,142547,29,True
Volley_20250415_202049_serve143321_score143515.mp4,143180,143321,141,False,143366,143515,149,False
Volley_20250415_202133_serve144199_score144365.mp4,144218,144199,19,True,144393,144365,28,True
Volley_20250415_202202_serve145421_score146129.mp4,145397,145421,24,True,146093,146129,36,True
Volley_20250415_202255_serve146673_score147105.mp4,146669,146673,4,True,147112,147105,7,True
